ds,aclose,close,high,low,open,volume,y,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
2017-08-28,8910,8980,8840,8910,8840,91634,8910.000000000005,9.11669391236204,9.11669391236204,9.11669391236204,8483.55858451163,9057.665695101,-0.03964048434640415,-0.03964048434640415,-0.03964048434640415,-0.03964048434640415,-0.03964048434640415,-0.03964048434640415,-0.031701108938400925,-0.031701108938400925,-0.031701108938400925,-0.007939375408003223,-0.007939375408003223,-0.007939375408003223,8752.139187259876
2017-08-29,8960,9020,8750,8960,8920,138307,8960.0,9.116742922250832,9.116742922250832,9.116742922250832,8486.722131633836,9057.669783582955,-0.03741732884304121,-0.03741732884304121,-0.03741732884304121,-0.03741732884304121,-0.03741732884304121,-0.03741732884304121,-0.03197917300691332,-0.03197917300691332,-0.03197917300691332,-0.005438155836127912,-0.005438155836127912,-0.005438155836127912,8772.048104639649
2017-08-30,9000,9010,8900,9000,9000,47839,9000.000000000004,9.116791932139623,9.116791932139623,9.116791932139623,8477.487266532857,9075.438112861177,-0.03744303044418306,-0.03744303044418306,-0.03744303044418306,-0.03744303044418306,-0.03744303044418306,-0.03744303044418306,-0.03435397131215275,-0.03435397131215275,-0.03435397131215275,-0.0030890591320303037,-0.0030890591320303037,-0.0030890591320303037,8772.252568442978
2017-08-31,9050,9100,9000,9050,9000,122738,9049.999999999998,9.116840942028416,9.116840942028416,9.116840942028416,8507.622790327783,9090.094360427773,-0.03452098342482196,-0.03452098342482196,-0.03452098342482196,-0.03452098342482196,-0.03452098342482196,-0.03452098342482196,-0.03359455922840304,-0.03359455922840304,-0.03359455922840304,-0.0009264241964189247,-0.0009264241964189247,-0.0009264241964189247,8798.354185531112
2017-09-01,9040,9100,9020,9040,9100,66270,9039.999999999998,9.116889951917207,9.116889951917207,9.116889951917207,8510.462561102371,9077.384584796411,-0.03519923297600595,-0.03519923297600595,-0.03519923297600595,-0.03519923297600595,-0.03519923297600595,-0.03519923297600595,-0.03621740643319878,-0.03621740643319878,-0.03621740643319878,0.0010181734571928325,0.0010181734571928325,0.0010181734571928325,8792.819653569919
2017-09-04,8800,8990,8770,8800,8850,111207,8800.000000000007,9.117036981583581,9.117036981583581,9.117036981583581,8569.163690651094,9142.588011044732,-0.026410166825795542,-0.026410166825795542,-0.026410166825795542,-0.026410166825795542,-0.026410166825795542,-0.026410166825795542,-0.031701108938391794,-0.031701108938391794,-0.031701108938391794,0.00529094211259625,0.00529094211259625,0.00529094211259625,8871.745250632597
2017-09-05,8710,8850,8670,8710,8810,108670,8709.999999999995,9.117085991472374,9.117085991472374,9.117085991472374,8597.049703616898,9169.290781630103,-0.0258412682695497,-0.0258412682695497,-0.0258412682695497,-0.0258412682695497,-0.0258412682695497,-0.0258412682695497,-0.031979173006884284,-0.031979173006884284,-0.031979173006884284,0.006137904737334585,0.006137904737334585,0.006137904737334585,8877.228870958372
2017-09-06,8600,8840,8590,8600,8670,129728,8600.0,9.117135001361165,9.117135001361165,9.117135001361165,8552.907861684946,9159.910580967427,-0.02767001325840894,-0.02767001325840894,-0.02767001325840894,-0.02767001325840894,-0.02767001325840894,-0.02767001325840894,-0.03435397131214993,-0.03435397131214993,-0.03435397131214993,0.0066839580537409815,0.0066839580537409815,0.0066839580537409815,8861.443805929086
2017-09-07,8870,8880,8710,8870,8710,87084,8870.000000000007,9.117184011249957,9.117184011249957,9.117184011249957,8577.798191917625,9200.664933815591,-0.02666201749866334,-0.02666201749866334,-0.02666201749866334,-0.02666201749866334,-0.02666201749866334,-0.02666201749866334,-0.0335945592284364,-0.0335945592284364,-0.0335945592284364,0.006932541729773052,0.006932541729773052,0.006932541729773052,8870.815354103286
2017-09-08,8710,8900,8710,8710,8890,87628,8709.999999999995,9.117233021138748,9.117233021138748,9.117233021138748,8571.383148899135,9135.449682014418,-0.029322763191754198,-0.029322763191754198,-0.029322763191754198,-0.029322763191754198,-0.029322763191754198,-0.029322763191754198,-0.036217406433116356,-0.036217406433116356,-0.036217406433116356,0.00689464324136215,0.00689464324136215,0.00689464324136215,8847.67735635057
