date,aclose,close,high,low,open,volume,swp01,swp02,swp03,swp04,swp05,swp06,swp07,swp08,swp09,swp10
2017-08-31,9050,9100,9000,9050,9000,122738,,,,,,,,,,
2017-09-01,9040,9100,9020,9040,9100,66270,,,,,,,,,,
2017-09-04,8800,8990,8770,8800,8850,111207,,,,,,,,,,
2017-09-05,8710,8850,8670,8710,8810,108670,,,,,,,,,,
2017-09-06,8600,8840,8590,8600,8670,129728,,,,,,,,,,
2017-09-07,8870,8880,8710,8870,8710,87084,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
2017-09-08,8710,8900,8710,8710,8890,87628,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
2017-09-11,8940,9090,8730,8940,8760,141043,,,,,,,,,,
2017-09-12,8910,8990,8850,8910,8950,66985,,,,,,,,,,
2017-09-13,9020,9100,8920,9020,8920,119189,,,,,,,,,,
2017-09-14,9070,9070,8810,9070,9030,173649,,,,,,,,,,
2017-09-15,9020,9070,8930,9020,9060,32080,,,,,,,,,,
2017-09-18,8850,9020,8850,8850,9020,53061,,,,,,,,,,
2017-09-19,8850,8980,8770,8850,8840,42998,,,,,,,,,,
2017-09-20,8950,9080,8840,8950,8870,98136,,,,,,,,,,
2017-09-21,8870,9000,8850,8870,8950,69115,,,,,,,,,,
2017-09-22,8640,8950,8560,8640,8840,135843,,,,,,,,,,
2017-09-25,8460,8790,8460,8460,8560,86723,,,,,,,,,,
2017-09-26,8400,8500,8310,8400,8460,46210,,,,,,,,,,
2017-09-27,8550,8590,8420,8550,8430,39309,,,,,,,,,,
2017-09-28,8550,8650,8550,8550,8580,19868,,,,,,,,,,
2017-09-29,8560,8620,8550,8560,8600,15105,,,,,,,,,,
2017-10-10,8900,8940,8570,8900,8570,130263,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
2017-10-11,8940,9000,8760,8940,8890,92727,,,,,,,,,,
2017-10-12,8930,8990,8840,8930,8940,60083,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
2017-10-13,8970,9080,8860,8970,8930,113322,,,,,,,,,,
2017-10-16,8980,9050,8850,8980,9040,88278,,,,,,,,,,
2017-10-17,9260,9360,9000,9260,9000,461848,,,,,,,,,,
2017-10-18,9190,9340,9100,9190,9260,123834,,,,,,,,,,
2017-10-19,9070,9290,9070,9070,9270,114497,,,,,,,,,,
2017-10-20,9050,9110,9000,9050,9010,50993,,,,,,,,,,
2017-10-23,9270,9340,9100,9270,9110,188819,,,,,,,,,,
2017-10-24,9270,9300,9160,9270,9260,115701,,,,,,,,,,
2017-10-25,9210,9280,9170,9210,9270,65649,,,,,,,,,,
2017-10-26,9050,9240,9030,9050,9240,128044,,,,,,,,,,
2017-10-27,9120,9170,9040,9120,9110,73998,,,,,,,,,,
2017-10-30,9080,9180,9060,9080,9160,83490,,,,,,,,,,
